CO_GT ;konsentrasi_CO ;konsentrasi_NMHC;konsentrasi_C6H6;konsentrasi_NMHC ;konsentrasi_NO;konsentrasi_Nox;konsentrasi_NO2;konsentrasi_NO2 ;konsentrasi_O3;konsentrasi_RH ;konsentrasi_AH 
1;790;-200;1;455;-200;1.376;-200;751;336;53;0
1;776;-200;1;445;37;1.460;34;737;330;54;0
1;766;-200;1;448;33;1.494;31;734;321;55;0
0;774;-200;1;458;43;1.473;37;735;334;52;0
1;801;-200;1;494;73;1.324;58;754;395;51;0
1;847;-200;2;586;125;1.163;92;814;473;53;0
1;874;-200;3;641;154;1.022;110;857;553;54;0
1;879;-200;3;642;140;1.027;101;836;545;51;0
1;888;-200;3;652;150;1.025;96;833;547;49;0
1;873;-200;2;610;139;1.051;102;819;527;46;0
1;877;-200;3;618;135;1.027;96;830;505;48;0
1;893;-200;3;653;152;987;102;845;550;47;0
1;866;-200;2;602;121;1.071;88;809;465;46;0
1;873;-200;3;629;122;1.049;87;817;467;44;0
1;911;-200;3;676;167;998;115;855;555;45;0
1;908;-200;3;653;165;980;118;847;551;47;0
1;907;-200;3;657;190;981;134;844;569;48;0
1;925;-200;3;678;176;960;125;861;594;49;0
2;920;-200;3;649;196;983;140;849;598;47;0
1;865;-200;2;561;103;1.102;83;791;434;49;0
1;867;-200;2;553;91;1.136;73;792;412;49;0
1;900;-200;2;604;119;1.051;92;815;469;50;0
1;901;-200;2;599;147;1.023;109;825;515;47;0
1;863;-200;2;560;101;1.107;82;787;430;47;0
1;884;-200;2;599;-200;1.065;-200;813;503;45;0
-200;873;-200;2;565;102;1.097;83;793;494;45;0
1;806;-200;1;459;55;1.322;50;728;368;44;0
1;801;-200;1;454;51;1.374;44;727;348;43;0
0;790;-200;0;431;53;1.439;49;722;354;44;0
1;805;-200;1;465;74;1.358;62;736;382;43;0
1;843;-200;1;520;113;1.202;85;762;450;42;0
1;849;-200;1;537;107;1.148;82;757;460;39;0
1;872;-200;2;583;101;1.126;77;765;441;38;0
1;890;-200;2;585;129;1.097;92;776;454;34;0
1;874;-200;2;552;126;1.128;95;760;415;36;0
1;863;-200;2;553;132;1.133;95;742;419;30;0
1;840;-200;2;566;101;1.176;76;717;368;28;0
1;845;-200;2;569;128;1.151;95;709;397;26;0
1;888;-200;3;625;170;1.062;118;763;510;28;0
1;845;-200;2;582;174;1.120;123;719;473;29;0
1;880;-200;3;641;215;1.077;140;759;537;30;0
2;917;-200;4;708;248;972;163;787;670;31;0
2;927;-200;4;715;247;965;164;797;711;34;0
1;868;-200;2;615;154;1.095;120;752;551;37;0
1;932;-200;4;685;186;996;130;820;670;39;0
2;971;-200;5;741;231;901;145;864;771;43;0
2;891;-200;3;650;174;987;126;782;586;39;0
1;806;-200;1;495;68;1.282;61;685;355;36;0
1;787;-200;1;446;-200;1.395;-200;657;310;36;0
0;791;-200;0;435;39;1.486;37;668;292;38;0
0;787;-200;0;415;39;1.474;37;667;293;39;0
0;814;-200;1;449;54;1.363;50;674;328;38;0
1;844;-200;1;538;158;1.164;109;726;479;35;0
2;1.049;-200;7;863;350;826;198;923;979;34;0
-200;1.201;-200;14;1.116;-200;617;-200;1.130;1.469;39;0
4;1.293;-200;15;1.153;584;602;283;1.141;1.667;34;0
3;1.121;-200;13;1.066;478;683;256;1.040;1.378;22;0
3;1.112;-200;13;1.078;563;683;261;1.028;1.426;19;0
3;1.060;-200;12;1.048;414;707;181;983;1.246;17;0
3;1.056;-200;12;1.040;398;711;194;976;1.187;17;0
3;1.131;-200;15;1.139;451;643;214;1.097;1.363;19;0
3;1.162;-200;16;1.170;503;618;204;1.131;1.425;18;0
4;1.283;-200;21;1.328;640;552;228;1.294;1.722;20;0
6;1.414;-200;27;1.490;843;488;270;1.433;2.051;25;0
7;1.486;-200;31;1.570;954;455;285;1.557;2.179;30;0
7;1.523;-200;29;1.533;984;456;282;1.532;2.214;37;0
4;1.283;-200;15;1.149;586;587;235;1.148;1.799;39;0
2;1.109;-200;7;863;360;737;208;960;1.527;44;0
1;1.055;-200;5;782;231;798;161;940;1.377;46;0
1;1.038;-200;5;756;200;813;146;921;1.317;49;0
1;996;-200;4;698;153;871;123;894;1.228;50;0
1;995;-200;4;680;135;879;109;904;1.201;52;0
1;1.000;-200;3;670;-200;868;-200;917;1.158;58;0
1;1.042;-200;4;688;196;814;115;935;1.204;65;0
1;1.042;-200;4;701;208;795;114;945;1.216;69;0
1;1.024;-200;4;724;241;814;122;944;1.198;65;0
2;1.147;-200;8;886;417;702;149;1.056;1.381;65;0
4;1.496;-200;20;1.298;896;492;187;1.441;1.873;64;0
5;1.541;-200;22;1.353;966;449;198;1.492;2.112;62;0
4;1.491;-200;17;1.215;878;503;196;1.343;2.038;59;0
5;1.533;-200;21;1.334;985;466;218;1.434;2.118;54;1
5;1.507;-200;20;1.292;1.017;479;227;1.379;2.110;51;1
4;1.451;-200;19;1.264;683;497;181;1.408;1.965;47;1
4;1.432;-200;19;1.264;660;487;179;1.476;1.888;44;1
3;1.408;-200;17;1.202;492;506;151;1.411;1.774;46;1
3;1.377;-200;14;1.129;497;540;162;1.392;1.626;45;1
4;1.454;-200;16;1.190;562;508;165;1.434;1.761;49;1
4;1.268;-200;14;1.128;539;573;173;1.255;1.533;40;1
4;1.259;-200;17;1.211;502;559;188;1.243;1.531;37;0
4;1.261;-200;15;1.143;452;595;186;1.208;1.477;40;0
3;1.133;-200;10;971;357;683;172;1.059;1.332;41;0
3;1.054;-200;6;818;289;777;150;966;1.210;44;0
3;1.055;-200;5;783;221;805;137;969;1.167;48;0
3;1.059;-200;5;747;204;820;133;964;1.133;51;1
3;1.063;-200;5;769;183;807;122;993;1.109;53;1
3;1.135;-200;7;854;222;722;130;1.065;1.218;58;1
3;1.126;-200;7;869;-200;680;-200;1.075;1.222;67;1
3;1.058;-200;5;753;210;764;121;986;1.149;67;1
2;1.040;-200;4;688;185;846;115;920;1.090;63;1
2;1.069;-200;5;737;257;792;125;946;1.114;68;1
2;1.042;-200;5;771;297;795;136;941;1.089;61;0
4;1.322;-200;15;1.151;573;566;174;1.286;1.446;63;0
7;1.549;-200;27;1.485;883;422;224;1.638;1.930;64;0
6;1.416;-200;20;1.285;824;501;230;1.390;1.809;53;0
4;1.337;-200;15;1.143;693;560;205;1.236;1.769;40;0
4;1.281;-200;15;1.132;714;577;204;1.206;1.696;30;0
3;1.037;-200;10;981;388;721;139;1.000;1.086;21;0
2;1.028;-200;10;983;337;728;133;979;1.048;20;0
2;984;-200;8;913;326;762;127;930;990;18;0
2;1.010;-200;9;940;329;759;124;960;1.027;18;0
3;1.113;-200;13;1.096;465;645;158;1.092;1.359;20;0
5;1.253;-200;20;1.284;612;536;171;1.285;1.618;25;0
6;1.400;-200;28;1.499;759;461;193;1.527;1.869;31;0
6;1.470;-200;31;1.584;771;436;195;1.641;2.033;36;0
4;1.281;-200;16;1.168;655;571;212;1.195;1.756;40;0
2;1.084;-200;7;855;332;748;193;939;1.446;42;0
2;1.097;-200;8;892;287;719;167;979;1.423;46;0
2;1.032;-200;6;791;242;793;156;915;1.278;48;0
2;1.046;-200;6;812;242;782;153;940;1.265;52;0
1;975;-200;4;707;192;860;128;902;1.107;55;0
1;932;-200;3;642;-200;950;-200;871;1.014;56;0
-200;926;-200;3;623;134;954;96;873;1.011;61;0
0;932;-200;3;645;142;916;105;882;1.006;64;0
0;937;-200;3;640;194;923;130;870;1.010;60;0
1;996;-200;4;724;216;861;134;938;1.067;63;0
3;1.382;-200;17;1.202;728;534;275;1.352;1.630;65;0
6;1.544;-200;29;1.530;975;416;309;1.706;2.030;62;0
5;1.429;-200;21;1.317;947;495;322;1.425;1.916;51;0
4;1.312;-200;16;1.164;790;570;333;1.230;1.761;40;0
2;1.205;-200;10;989;551;643;235;1.084;1.597;33;0
3;1.322;-200;14;1.110;565;568;241;1.208;1.776;34;0
3;1.301;-200;13;1.074;532;574;214;1.255;1.636;35;1
2;1.280;-200;11;1.030;459;597;174;1.246;1.480;35;1
2;1.256;-200;10;986;407;612;157;1.240;1.413;35;1
2;1.358;-200;14;1.128;434;545;170;1.344;1.611;37;1
7;1.713;-200;32;1.605;980;383;212;1.870;2.186;45;1
6;1.655;-200;29;1.527;966;393;249;1.758;2.203;52;1
4;1.444;-200;18;1.227;646;485;231;1.414;1.891;56;1
3;1.314;-200;13;1.069;471;571;216;1.271;1.662;58;1
3;1.368;-200;16;1.164;528;524;217;1.350;1.674;65;1
2;1.195;-200;9;943;378;645;203;1.149;1.462;63;1
1;1.083;-200;6;828;235;734;161;1.067;1.273;63;1
1;1.055;-200;5;771;217;781;147;1.030;1.174;65;1
1;973;-200;3;672;141;887;111;954;1.031;65;1
1;1.039;-200;5;777;-200;778;-200;1.031;1.082;72;1
1;949;-200;3;657;158;895;115;948;991;64;1
0;920;-200;2;601;87;974;80;920;925;66;1
1;989;-200;4;703;194;843;122;988;1.017;75;1
1;1.100;-200;7;854;401;714;186;1.075;1.187;74;1
4;1.411;-200;20;1.288;887;492;306;1.472;1.638;71;1
4;1.328;-200;20;1.300;654;499;301;1.405;1.672;61;1
3;1.308;-200;16;1.189;566;534;274;1.325;1.656;50;1
3;1.280;-200;14;1.127;649;558;247;1.277;1.641;37;1
2;1.056;-200;7;857;309;735;169;1.028;1.117;29;0
1;1.019;-200;6;825;229;781;138;994;901;28;0
2;1.084;-200;9;923;312;712;149;1.085;1.046;32;0
2;998;-200;7;841;276;792;165;979;884;32;0
1;987;-200;6;816;236;816;156;959;821;34;0
2;1.079;-200;9;932;312;719;184;1.018;1.056;33;0
2;1.096;-200;9;954;345;687;197;1.085;1.139;38;0
3;1.146;-200;12;1.043;386;639;204;1.169;1.248;41;0
3;1.125;-200;11;1.025;356;653;207;1.147;1.200;42;0
3;1.130;-200;10;968;467;680;208;1.102;1.220;44;0
2;1.017;-200;6;805;287;807;174;958;1.032;46;0
1;1.017;-200;5;776;239;843;157;946;971;46;0
2;1.041;-200;5;778;266;828;166;947;1.011;49;0
2;1.034;-200;5;769;261;816;167;952;1.049;52;0
1;1.009;-200;5;751;223;828;154;939;1.053;55;0
2;1.105;-200;6;828;-200;735;-200;997;1.157;64;0
2;1.084;-200;7;859;272;703;164;1.017;1.163;66;0
1;989;-200;4;731;226;815;149;936;1.018;68;0
1;1.047;-200;6;792;250;757;150;957;1.121;70;0
1;1.091;-200;7;868;402;705;205;1.021;1.200;67;0
3;1.263;-200;13;1.074;708;614;283;1.198;1.403;64;0
4;1.165;-200;11;1.024;759;646;310;1.134;1.365;53;0
1;966;-200;5;760;302;877;200;890;940;39;0
1;927;-200;4;702;210;932;147;847;750;35;0
1;909;-200;3;678;180;960;128;838;652;35;0
1;941;-200;4;723;165;922;121;880;643;34;0
1;903;-200;4;696;180;932;129;850;629;33;0
1;891;-200;3;668;147;991;110;819;549;31;0
1;904;-200;3;674;177;968;126;824;578;31;0
1;900;-200;3;659;157;990;121;807;582;33;0
1;926;-200;4;725;195;933;142;847;694;35;0
2;999;-200;6;821;263;846;174;915;926;37;0
1;994;-200;5;774;239;854;168;917;915;40;0
1;1.010;-200;6;801;267;826;180;944;986;43;0
1;938;-200;4;685;214;934;157;870;840;44;0
1;983;-200;5;760;236;869;162;898;939;43;0
2;963;-200;5;749;251;900;173;834;869;39;0
1;962;-200;5;756;255;902;176;843;908;40;0
1;980;-200;5;761;235;854;172;876;1.051;47;0
1;914;-200;3;644;-200;972;-200;832;922;49;0
-200;898;-200;3;624;129;987;108;825;871;54;0
1;854;-200;2;572;95;1.070;88;788;793;52;0
1;838;;1;531;95;1.146;85;774;753;52;0
1;831;-200;2;543;100;1.132;88;787;737;53;0
1;833;-200;1;526;110;1.169;94;771;722;53;0
1;870;-200;2;582;149;1.091;115;791;737;54;0
1;984;-200;4;727;197;891;137;908;913;43;0
2;1.065;-200;7;844;351;780;212;979;1.117;33;0
2;968;-200;5;743;249;886;173;840;774;25;0
1;911;-200;4;683;188;981;135;790;558;24;0
1;868;-200;2;590;127;1.081;100;753;420;26;0
1;868;-200;2;576;96;1.128;78;755;363;28;0
1;904;-200;3;633;138;1.040;100;789;410;28;0
1;944;-200;4;693;217;928;150;832;568;30;0
1;925;-200;3;649;186;1.003;142;819;570;36;0
2;985;-200;5;736;227;891;165;875;774;38;0
2;1.002;-200;5;780;252;855;179;892;857;36;0
1;938;-200;4;692;193;937;149;805;737;35;0
1;896;-200;3;627;158;1.033;126;782;610;37;0
1;907;-200;2;614;150;1.052;120;782;627;38;0
1;902;-200;2;613;130;1.049;110;777;566;38;0
1;885;-200;2;582;104;1.072;92;760;517;38;0
1;863;-200;2;545;86;1.119;78;749;484;38;0
1;861;-200;1;518;-200;1.141;-200;738;482;40;0
1;852;-200;1;482;67;1.187;65;726;496;41;0
1;879;-200;1;495;75;1.147;73;753;623;45;0
1;900;-200;1;525;97;1.090;85;780;696;45;0
1;963;-200;2;615;177;980;133;837;916;47;0
2;1.183;-200;9;929;433;675;246;1.037;1.309;50;0
3;1.161;-200;11;996;471;639;281;1.067;1.396;41;0
2;1.102;-200;8;896;346;720;222;969;1.226;34;0
2;1.029;-200;7;835;262;771;182;897;1.002;25;0
1;973;-200;6;797;221;845;154;845;769;21;0
2;981;-200;6;820;265;807;168;876;784;21;0
1;960;-200;5;784;219;842;149;868;643;22;0
1;973;-200;5;761;235;862;156;865;682;24;0
1;968;-200;5;765;227;843;156;863;692;24;0
2;1.022;-200;7;854;285;771;187;941;926;28;0
2;1.067;-200;8;879;291;740;194;989;996;34;0
2;1.101;-200;8;908;295;707;204;1.025;1.095;38;0
2;1.081;-200;8;885;243;720;174;1.017;1.058;39;0
2;988;-200;5;738;209;843;154;906;893;40;0
1;932;-200;3;630;147;980;117;842;681;40;0
1;923;-200;2;602;117;1.028;98;831;599;39;0
1;915;-200;2;589;105;1.045;90;813;550;40;0
1;879;-200;1;534;84;1.129;74;785;470;40;0
1;852;-200;1;479;51;1.275;49;761;375;41;0
0;844;-200;1;453;-200;1.378;-200;748;337;41;0
1;878;-200;1;496;54;1.182;54;782;451;43;0
1;910;-200;1;524;74;1.102;69;802;600;43;0
1;918;-200;2;551;114;1.062;92;817;712;44;0
1;991;-200;3;653;228;944;146;885;931;45;0
2;1.223;-200;10;979;455;658;224;1.120;1.332;46;0
3;1.277;-200;15;1.153;493;543;253;1.268;1.520;44;0
2;1.114;-200;9;922;410;689;225;1.022;1.223;36;0
2;1.088;-200;7;853;277;729;180;996;1.122;33;0
2;1.064;-200;8;881;340;727;194;979;1.099;28;0
2;1.047;-200;7;854;238;753;158;959;904;27;0
2;1.075;-200;9;920;323;726;184;992;1.022;23;0
2;973;-200;5;777;286;858;165;844;719;21;0
2;942;-200;4;733;271;912;156;;;20;0
2;-200;-200;-200;-200;276;-200;172;-200;-200;-200;-200
2;-200;-200;-200;-200;295;-200;194;-200;-200;-200;-200
2;-200;-200;-200;-200;340;-200;208;-200;-200;-200;-200
2;-200;-200;-200;-200;275;-200;187;-200;-200;-200;-200
2;-200;-200;-200;-200;293;-200;187;-200;-200;-200;-200
1;-200;-200;-200;-200;157;-200;127;-200;-200;-200;-200
1;-200;-200;-200;-200;133;-200;107;-200;-200;-200;-200
1;-200;-200;-200;-200;120;-200;99;-200;-200;-200;-200
1;-200;-200;-200;-200;122;-200;100;-200;-200;-200;-200
1;-200;-200;-200;-200;80;-200;73;-200;-200;-200;-200
1;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200
-200;-200;-200;-200;-200;88;-200;83;-200;-200;-200;-200
1;-200;-200;-200;-200;109;-200;92;-200;-200;-200;-200
1;-200;-200;-200;-200;120;-200;100;-200;-200;-200;-200
1;-200;-200;-200;-200;233;-200;149;-200;-200;-200;-200
2;-200;-200;-200;-200;394;-200;231;-200;-200;-200;-200
3;-200;-200;-200;-200;424;-200;245;-200;-200;-200;-200
3;-200;-200;-200;-200;446;-200;203;-200;-200;-200;-200
2;-200;-200;-200;-200;266;-200;165;-200;-200;-200;-200
2;-200;-200;-200;-200;261;-200;168;-200;-200;-200;-200
2;-200;-200;-200;-200;220;-200;151;-200;-200;-200;-200
2;-200;-200;-200;-200;241;-200;152;-200;-200;-200;-200
2;-200;-200;-200;-200;208;-200;144;-200;-200;-200;-200
2;-200;-200;-200;-200;215;-200;148;-200;-200;-200;-200
2;-200;-200;-200;-200;257;-200;176;-200;-200;-200;-200
3;-200;-200;-200;-200;355;-200;209;-200;-200;-200;-200
4;-200;-200;-200;-200;415;-200;240;-200;-200;-200;-200
4;-200;-200;-200;-200;349;-200;223;-200;-200;-200;-200
3;-200;-200;-200;-200;254;-200;187;-200;-200;-200;-200
2;-200;-200;-200;-200;228;-200;157;-200;-200;-200;-200
2;-200;-200;-200;-200;156;-200;123;-200;-200;-200;-200
2;-200;-200;-200;-200;161;-200;126;-200;-200;-200;-200
2;-200;-200;-200;-200;123;-200;106;-200;-200;-200;-200
2;-200;-200;-200;-200;108;-200;95;-200;-200;-200;-200
2;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200
1;-200;-200;-200;-200;95;-200;87;-200;-200;-200;-200
2;-200;-200;-200;-200;102;-200;88;-200;-200;-200;-200
2;-200;-200;-200;-200;178;-200;134;-200;-200;-200;-200
2;-200;-200;-200;-200;214;-200;156;-200;-200;-200;-200
3;-200;-200;-200;-200;492;-200;247;-200;-200;-200;-200
4;-200;-200;-200;-200;540;-200;289;-200;-200;-200;-200
4;-200;-200;-200;-200;604;-200;250;-200;-200;-200;-200
4;-200;-200;-200;-200;646;-200;232;-200;-200;-200;-200
3;-200;-200;-200;-200;418;-200;185;-200;-200;-200;-200
2;-200;-200;-200;-200;250;-200;147;-200;-200;-200;-200
2;-200;-200;-200;-200;226;-200;128;-200;-200;-200;-200
2;-200;-200;-200;-200;271;-200;131;-200;-200;-200;-200
2;-200;-200;-200;-200;288;-200;135;-200;-200;-200;-200
3;-200;-200;-200;-200;299;-200;149;-200;-200;-200;-200
4;-200;-200;-200;-200;534;-200;209;-200;-200;-200;-200
6;-200;-200;-200;-200;687;-200;243;-200;-200;-200;-200
8;-200;-200;-200;-200;1.028;-200;276;-200;-200;-200;-200
5;-200;-200;-200;-200;605;-200;225;-200;-200;-200;-200
3;-200;-200;-200;-200;345;-200;194;-200;-200;-200;-200
2;-200;-200;-200;-200;255;-200;164;-200;-200;-200;-200
2;-200;-200;-200;-200;211;-200;148;-200;-200;-200;-200
2;-200;-200;-200;-200;190;-200;136;-200;-200;-200;-200
2;-200;-200;-200;-200;149;-200;116;-200;-200;-200;-200
2;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200
2;-200;-200;-200;-200;107;-200;91;-200;-200;-200;-200
2;-200;-200;-200;-200;98;-200;87;-200;-200;-200;-200
2;-200;-200;-200;-200;183;-200;123;-200;-200;-200;-200
2;-200;-200;-200;-200;224;-200;152;-200;-200;-200;-200
4;-200;-200;-200;-200;589;-200;267;-200;-200;-200;-200
6;-200;-200;-200;-200;700;-200;296;-200;-200;-200;-200
5;-200;-200;-200;-200;747;;291;-200;-200;-200;-200
5;-200;-200;-200;-200;746;-200;276;-200;-200;-200;-200
4;-200;-200;-200;-200;702;-200;250;-200;-200;-200;-200
5;-200;-200;-200;-200;723;-200;251;-200;-200;-200;-200
6;-200;-200;-200;-200;872;-200;275;-200;-200;-200;-200
6;-200;-200;-200;-200;1.054;-200;312;-200;-200;-200;-200
7;-200;-200;-200;-200;1.218;-200;340;-200;-200;-200;-200
7;-200;-200;-200;-200;1.227;-200;326;-200;-200;-200;-200
7;-200;-200;-200;-200;1.061;-200;284;-200;-200;-200;-200
7;-200;-200;-200;-200;1.075;-200;289;-200;-200;-200;-200
5;-200;-200;-200;-200;641;-200;215;-200;-200;-200;-200
4;1.521;-200;17;1.203;490;476;207;1.400;2.141;51;1
4;1.428;-200;13;1.085;550;526;213;1.268;2.023;53;1
4;1.463;-200;13;1.069;422;530;192;1.279;1.967;58;1
4;1.494;-200;14;1.124;541;504;211;1.313;1.931;64;1
4;1.462;-200;13;1.080;599;522;229;1.274;1.889;67;1
4;1.326;-200;10;967;490;578;216;1.174;1.699;67;1
3;1.185;-200;6;807;-200;685;-200;1.051;1.467;66;1
-200;1.154;-200;6;788;223;709;146;1.065;1.390;66;1
1;1.175;-200;7;839;214;670;136;1.087;1.371;69;1
1;1.203;-200;7;870;274;641;156;1.103;1.427;68;1
2;1.250;-200;9;933;338;620;176;1.144;1.489;66;1
2;1.321;-200;12;1.046;496;562;224;1.263;1.610;63;1
2;1.323;-200;12;1.049;433;550;207;1.290;1.619;59;1
3;1.381;-200;12;1.045;496;541;221;1.307;1.706;58;1
3;1.480;-200;16;1.186;615;498;229;1.382;1.882;55;1
3;1.485;-200;18;1.229;551;477;208;1.450;1.911;53;1
4;1.522;-200;18;1.229;575;470;207;1.488;1.943;52;1
4;1.570;-200;18;1.224;575;468;216;1.448;2.020;51;1
3;1.507;-200;16;1.170;574;488;224;1.392;1.999;51;1
3;1.540;-200;17;1.202;582;475;225;1.440;2.008;52;1
4;1.556;-200;17;1.214;658;472;227;1.435;2.026;52;1
5;1.707;-200;23;1.378;851;416;248;1.637;2.225;54;1
5;1.766;-200;25;1.419;903;404;251;1.659;2.317;55;1
6;1.846;-200;27;1.474;952;389;265;1.712;2.426;55;1
5;1.795;-200;23;1.382;894;410;262;1.609;2.355;57;1
5;1.755;-200;22;1.352;839;417;241;1.587;2.375;60;1
5;1.738;-200;20;1.309;743;424;231;1.543;2.494;60;1
4;1.712;-200;18;1.239;671;443;229;1.488;2.411;63;1
4;1.751;-200;19;1.255;689;435;221;1.541;2.226;73;1
3;1.574;-200;13;1.093;478;497;180;1.451;1.808;78;1
3;1.458;-200;11;1.024;-200;530;-200;1.413;1.571;79;1
3;1.515;-200;13;1.066;345;508;140;1.430;1.548;81;1
3;1.491;-200;12;1.031;373;515;153;1.387;1.541;83;1
3;1.453;-200;11;1.012;324;534;150;1.348;1.441;84;1
3;1.443;-200;11;1.003;341;542;145;1.356;1.396;85;1
3;1.473;-200;12;1.047;424;522;149;1.420;1.411;84;1
3;1.548;-200;13;1.097;522;491;155;1.477;1.497;82;1
3;1.586;-200;13;1.084;492;495;158;1.473;1.619;78;1
3;1.488;-200;11;1.023;492;533;188;1.456;1.590;68;1
2;1.220;-200;6;787;204;675;154;1.310;1.163;57;1
1;1.198;-200;5;758;142;698;107;1.277;1.001;48;1
1;1.168;-200;7;836;118;666;92;1.278;822;39;1
2;1.149;-200;8;917;126;616;106;1.293;773;34;1
1;1.052;-200;4;734;115;799;90;1.109;588;32;1
1;1.053;-200;4;727;137;789;100;1.081;610;36;1
3;1.238;-200;12;1.037;212;583;132;1.388;1.000;41;1
3;1.188;-200;9;939;354;658;211;1.234;1.048;43;1
2;1.150;-200;8;891;331;684;179;1.198;1.002;44;1
1;984;-200;4;694;141;881;116;1.032;711;43;1
1;1.111;-200;5;777;228;760;143;1.137;1.024;48;1
2;1.131;-200;6;793;228;728;142;1.173;1.054;53;1
1;1.115;-200;5;778;203;749;135;1.158;994;56;1
2;1.133;-200;6;811;215;708;136;1.182;1.031;59;1
1;1.024;-200;4;709;142;798;109;1.120;884;61;1
1;968;-200;3;639;-200;891;-200;1.080;794;67;1
1;923;-200;2;567;66;994;62;1.024;688;67;1
0;902;-200;2;548;54;1.063;49;1.024;617;69;1
1;995;-200;3;646;121;895;81;1.053;818;70;1
1;858;-200;2;597;141;1.054;104;857;690;37;0
2;1.233;-200;11;1.030;388;619;176;1.257;1.291;45;1
3;1.140;-200;10;958;366;627;193;1.175;1.200;45;1
2;1.096;-200;12;1.036;254;635;168;1.043;1.127;40;1
3;1.295;-200;34;1.639;164;477;123;1.013;1.582;37;1
2;926;-200;8;882;142;744;111;913;700;36;0
1;970;-200;7;857;162;748;120;990;693;39;1
1;960;-200;7;853;177;782;123;967;709;30;0
1;941;-200;6;800;157;823;115;917;671;31;0
1;921;-200;5;771;162;850;120;885;632;27;0
1;940;-200;6;829;209;823;140;901;716;23;0
2;1.036;-200;12;1.046;304;694;185;1.044;1.059;23;0
4;1.102;-200;17;1.221;484;609;212;1.136;1.329;20;0
4;1.035;-200;15;1.141;399;670;200;1.018;1.196;18;0
3;990;-200;10;978;390;751;191;928;1.131;21;0
2;950;-200;7;839;287;834;169;878;977;25;0
2;988;-200;7;839;202;803;139;936;963;31;0
1;884;-200;3;658;126;982;102;813;581;31;0
1;840;-200;2;597;87;1.081;76;766;432;30;0
1;814;-200;1;526;59;1.228;56;740;352;33;0
0;821;-200;1;509;-200;1.235;-200;762;348;37;0
-200;802;-200;1;440;31;1.413;30;738;312;39;0
0;805;-200;1;437;28;1.491;28;738;296;40;0
0;850;-200;1;529;64;1.183;56;780;385;41;0
1;913;-200;3;619;123;1.018;94;834;586;42;0
2;1.047;-200;7;844;363;784;196;979;987;40;0
2;1.055;-200;8;899;416;731;220;1.017;1.035;40;0
2;974;-200;5;778;286;832;168;905;782;33;0
1;863;-200;3;669;198;993;133;776;511;25;0
1;889;-200;4;734;216;942;134;801;566;20;0
1;906;-200;6;790;211;893;138;837;642;19;0
1;874;-200;5;751;199;918;135;792;591;19;0
1;849;-200;4;680;161;1.015;111;741;461;19;0
1;923;-200;5;761;218;909;124;840;609;21;0
2;962;-200;7;841;252;827;158;901;821;22;0
2;1.067;-200;12;1.059;337;671;181;1.085;1.163;23;0
3;1.125;-200;14;1.121;357;630;185;1.132;1.405;25;0
3;1.149;-200;14;1.124;410;623;187;1.141;1.405;27;0
3;1.155;-200;12;1.034;445;648;196;1.061;1.429;30;0
2;1.065;-200;8;908;314;741;174;953;1.284;32;0
2;1.145;-200;9;946;366;699;182;1.015;1.409;38;0
2;1.134;-200;8;912;336;707;182;999;1.376;40;0
3;1.195;-200;11;1.004;387;652;193;1.078;1.421;44;0
2;1.141;-200;8;898;320;689;174;1.014;1.356;48;0
1;1.077;-200;6;806;-200;725;-200;949;1.296;49;0
1;1.052;-200;5;740;237;768;142;913;1.202;52;0
1;1.033;-200;4;701;224;782;137;883;1.206;52;0
1;1.080;-200;5;768;237;732;140;924;1.305;52;0
2;1.208;-200;9;931;454;622;201;1.052;1.485;54;0
4;1.363;-200;16;1.183;854;520;288;1.273;1.643;48;0
3;1.239;-200;13;1.096;758;577;260;1.211;1.459;38;0
2;1.044;-200;9;940;428;706;206;1.014;1.152;34;0
1;956;-200;5;761;205;849;98;887;885;33;0
1;955;-200;4;725;205;890;138;880;770;35;0
2;997;-200;6;825;226;790;139;948;852;31;0
2;987;-200;6;810;199;801;137;939;830;36;0
2;1.007;-200;6;798;253;793;155;942;867;35;0
2;1.025;-200;6;795;259;783;155;967;881;38;0
2;1.083;-200;7;856;252;720;148;1.010;975;42;0
2;1.143;-200;10;960;313;641;153;1.110;1.136;45;0
3;1.288;-200;16;1.178;433;539;171;1.300;1.434;43;0
6;1.464;-200;25;1.421;611;457;227;1.542;1.746;43;0
5;1.341;-200;17;1.204;626;534;251;1.294;1.592;44;0
3;1.177;-200;11;1.004;408;640;216;1.111;1.341;47;0
2;1.089;-200;8;913;357;712;200;1.016;1.208;40;0
3;1.196;-200;11;1.014;375;643;192;1.101;1.334;44;0
3;1.107;-200;7;874;326;721;187;984;1.208;42;0
2;1.102;-200;8;897;326;715;173;1.024;1.196;42;0
1;993;-200;4;688;-200;847;-200;874;931;43;0
1;912;-200;2;559;72;1.016;64;837;656;47;0
1;883;-200;1;496;49;1.140;46;804;478;45;0
1;893;-200;1;507;59;1.111;51;794;489;42;0
1;1.033;-200;4;711;220;893;115;935;893;44;0
3;1.222;-200;10;966;602;636;238;1.134;1.322;45;0
3;1.190;-200;11;1.000;485;624;202;1.152;1.280;42;0
2;1.035;-200;5;783;295;794;167;969;943;37;0
